date,value
2019-10-10,3493.96
2019-10-11,3569.92
2019-10-14,3556.26
2019-10-15,3598.65
2019-10-16,3599.25
2019-10-17,3588.62
2019-10-18,3579.41
2019-10-21,3600.08
2019-10-22,3604.82
2019-10-23,3606.89
2019-10-24,3621.37
2019-10-25,3624.68
2019-10-28,3625.69
2019-10-29,3622.09
2019-10-30,3620.29
2019-10-31,3604.41
2019-11-01,3623.74
2019-11-04,3665.21
2019-11-05,3676.52
2019-11-06,3688.74
2019-11-07,3706.68
2019-11-08,3699.65
2019-11-11,3696.82
2019-11-12,3712.2
2019-11-13,3699.5
2019-11-14,3688.81
2019-11-15,3711.61
2019-11-18,3704.92
2019-11-19,3696.56
2019-11-20,3683.88
2019-11-21,3679.66
2019-11-22,3687.32
2019-11-25,3707.68
2019-11-26,3705.55
2019-11-27,3712.85
2019-11-28,3704.48
2019-11-29,3703.58
2019-12-02,3626.66
2019-12-03,3610.99
2019-12-04,3660.02
2019-12-05,3648.13
2019-12-06,3692.34
2019-12-09,3672.18
2019-12-10,3671.78
2019-12-11,3687.45
2019-12-12,3706.35
2019-12-13,3731.07
2019-12-16,3772.74
2019-12-17,3745.28
2019-12-18,3739.0
2019-12-19,3739.17
2019-12-20,3776.56
2019-12-23,3776.66
2019-12-24,3774.39
2019-12-27,3782.27
2019-12-30,3748.47
2019-12-31,3745.15
2020-01-02,3793.24
2020-01-03,3773.37
2020-01-06,3752.52
2020-01-07,3759.25
2020-01-08,3772.56
2020-01-09,3795.88
2020-01-10,3789.52
2020-01-13,3779.68
2020-01-14,3774.88
2020-01-15,3768.96
2020-01-16,3774.14
2020-01-17,3808.26
2020-01-20,3799.03
2020-01-21,3789.12
2020-01-22,3769.79
2020-01-23,3736.85
2020-01-24,3779.16
2020-01-27,3677.84
2020-01-28,3719.22
2020-01-29,3736.36
2020-01-30,3690.78
2020-01-31,3640.91
2020-02-03,3661.27
2020-02-04,3732.28
2020-02-05,3777.84
2020-02-06,3805.52
2020-02-07,3798.49
2020-02-10,3793.18
2020-02-11,3825.84
2020-02-12,3854.43
2020-02-13,3846.74
2020-02-14,3840.97
2020-02-17,3853.27
2020-02-18,3836.54
2020-02-19,3865.18
2020-02-20,3822.98
2020-02-21,3800.38
2020-02-24,3647.98
2020-02-25,3572.51
2020-02-26,3577.68
2020-02-27,3455.92
2020-02-28,3329.49
2020-03-02,3338.83
2020-03-03,3371.97
2020-03-04,3420.56
2020-03-05,3363.58
2020-03-06,3232.07
2020-03-09,2959.07
2020-03-10,2910.02
2020-03-11,2905.56
2020-03-12,2545.23
2020-03-13,2586.02
2020-03-16,2450.37
2020-03-17,2530.5
2020-03-18,2385.82
2020-03-19,2454.08
2020-03-20,2548.5
2020-03-23,2485.54
2020-03-24,2715.11
2020-03-25,2800.14
2020-03-26,2847.78
2020-03-27,2728.65
2020-03-30,2765.62
2020-03-31,2786.9
2020-04-01,2680.3
2020-04-02,2688.49
2020-04-03,2662.99
2020-04-06,2795.97
2020-04-07,2857.67
2020-04-08,2851.27
2020-04-09,2892.79
2020-04-14,2917.74
2020-04-15,2808.2
2020-04-16,2812.35
2020-04-17,2888.3
2020-04-20,2909.5
2020-04-21,2791.34
2020-04-22,2834.9
2020-04-23,2852.46
2020-04-24,2809.07
2020-04-27,2882.09
2020-04-28,2932.06
2020-04-29,2996.08
2020-04-30,2927.93
2020-05-01,2927.93
2020-05-04,2816.48
2020-05-05,2875.91
2020-05-06,2843.76
2020-05-07,2880.6
2020-05-08,2908.11
2020-05-11,2883.75
2020-05-12,2884.2
2020-05-13,2810.55
2020-05-14,2760.23
2020-05-15,2770.7
2020-05-18,2911.88
2020-05-19,2902.58
2020-05-20,2942.39
2020-05-21,2904.98
2020-05-22,2905.47
2020-05-25,2971.35
2020-05-26,2999.22
2020-05-27,3051.08
2020-05-28,3094.47
2020-05-29,3050.2
2020-06-01,3077.92
2020-06-02,3159.02
2020-06-03,3269.59
2020-06-04,3261.67
2020-06-05,3384.29
2020-06-08,3366.29
2020-06-09,3320.71
2020-06-10,3293.71
2020-06-11,3144.57
2020-06-12,3153.74
2020-06-15,3136.4
2020-06-16,3242.65
2020-06-17,3267.26
2020-06-18,3249.9
2020-06-19,3269.1
2020-06-22,3241.69
2020-06-23,3298.83
2020-06-24,3196.12
2020-06-25,3218.91
2020-06-26,3204.17
2020-06-29,3232.02
2020-06-30,3234.07
2020-07-01,3228.45
2020-07-02,3320.09
2020-07-03,3294.38
2020-07-06,3350.03
2020-07-07,3321.56
2020-07-08,3286.09
2020-07-09,3261.17
2020-07-10,3296.22
2020-07-13,3350.0
2020-07-14,3321.39
2020-07-15,3378.21
2020-07-16,3365.35
2020-07-17,3365.6
2020-07-20,3388.34
2020-07-21,3405.35
2020-07-22,3370.76
2020-07-23,3371.74
2020-07-24,3310.89
2020-07-27,3302.84
2020-07-28,3303.56
2020-07-29,3300.16
2020-07-30,3208.2
2020-07-31,3174.32
2020-08-03,3248.28
2020-08-04,3254.29
2020-08-05,3268.38
2020-08-06,3240.39
2020-08-07,3252.65
2020-08-10,3259.71
2020-08-11,3332.12
2020-08-12,3363.18
2020-08-13,3342.85
2020-08-14,3305.05
2020-08-17,3305.85
2020-08-18,3289.64
2020-08-19,3317.62
2020-08-20,3273.98
2020-08-21,3259.75
2020-08-24,3331.74
2020-08-25,3329.71
2020-08-26,3356.76
2020-08-27,3331.04
2020-08-28,3315.54
2020-08-31,3272.51
2020-09-01,3277.58
2020-09-02,3337.77
2020-09-03,3304.22
2020-09-04,3260.59
2020-09-07,3314.07
2020-09-08,3267.37
2020-09-09,3324.83
2020-09-10,3312.77
2020-09-11,3315.81
2020-09-14,3316.79
2020-09-15,3332.26
2020-09-16,3338.84
2020-09-17,3316.57
