Date,Adj Close
11/21/2014,23437.12
11/24/2014,23893.14
11/25/2014,23843.91
11/26/2014,24111.98
11/27/2014,24004.28
11/28/2014,23987.45
12/1/2014,23367.45
12/2/2014,23654.30
12/3/2014,23428.62
12/4/2014,23832.56
12/5/2014,24002.64
12/8/2014,24047.67
12/9/2014,23485.83
12/10/2014,23524.52
12/11/2014,23312.54
12/12/2014,23249.20
12/15/2014,23027.85
12/16/2014,22670.50
12/17/2014,22585.84
12/18/2014,22832.21
12/19/2014,23116.63
12/22/2014,23408.57
12/23/2014,23333.69
12/24/2014,23349.34
12/29/2014,23773.18
12/30/2014,23501.10
12/31/2014,23605.04
1/2/2015,23721.30
1/5/2015,23721.32
1/6/2015,23485.41
1/7/2015,23681.26
1/8/2015,23835.53
1/9/2015,23919.95
1/12/2015,24026.46
1/13/2015,24215.97
1/14/2015,24112.60
1/15/2015,24350.91
1/16/2015,24103.52
1/19/2015,23738.49
1/20/2015,23951.16
1/21/2015,24352.58
1/22/2015,24522.63
1/23/2015,24850.45
1/26/2015,24909.90
1/27/2015,24807.28
1/28/2015,24861.81
1/29/2015,24595.85
1/30/2015,24507.05
2/2/2015,24484.74
2/3/2015,24554.78
2/4/2015,24679.76
2/5/2015,24765.49
2/6/2015,24679.39
2/9/2015,24521.00
2/10/2015,24528.10
2/11/2015,24315.02
2/12/2015,24422.15
2/13/2015,24682.54
2/16/2015,24726.53
2/17/2015,24784.88
2/18/2015,24832.08
2/23/2015,24836.76
2/24/2015,24750.07
2/25/2015,24778.28
2/26/2015,24902.06
2/27/2015,24823.29
3/2/2015,24887.44
3/3/2015,24702.78
3/4/2015,24465.38
3/5/2015,24193.04
3/6/2015,24164.00
3/9/2015,24123.05
3/10/2015,23896.98
3/11/2015,23717.97
3/12/2015,23797.96
3/13/2015,23823.21
3/16/2015,23949.55
3/17/2015,23901.49
3/18/2015,24120.08
3/19/2015,24468.89
3/20/2015,24375.24
3/23/2015,24494.51
3/24/2015,24399.60
3/25/2015,24528.23
3/26/2015,24497.08
3/27/2015,24486.20
3/30/2015,24855.12
3/31/2015,24900.89
4/1/2015,25082.75
4/2/2015,25275.64
4/8/2015,26236.86
4/9/2015,26944.39
4/10/2015,27272.39
4/13/2015,28016.34
4/14/2015,27561.49
4/15/2015,27618.82
4/16/2015,27739.71
4/17/2015,27653.12
4/20/2015,27094.93
4/21/2015,27850.49
4/22/2015,27933.85
4/23/2015,27827.70
4/24/2015,28060.98
4/27/2015,28433.59
4/28/2015,28442.75
4/29/2015,28400.34
4/30/2015,28133.00
5/4/2015,28123.82
5/5/2015,27755.54
5/6/2015,27640.91
5/7/2015,27289.97
5/8/2015,27577.34
5/11/2015,27718.20
5/12/2015,27407.18
5/13/2015,27249.28
5/14/2015,27286.55
5/15/2015,27822.28
5/18/2015,27591.25
5/19/2015,27693.54
5/20/2015,27585.05
5/21/2015,27523.72
5/22/2015,27992.83
5/26/2015,28249.86
5/27/2015,28081.21
5/28/2015,27454.31
5/29/2015,27424.19
6/1/2015,27597.16
6/2/2015,27466.72
6/3/2015,27657.47
6/4/2015,27551.89
6/5/2015,27260.16
6/8/2015,27316.28
6/9/2015,26989.52
6/10/2015,26687.64
6/11/2015,26907.85
6/12/2015,27280.54
6/15/2015,26861.81
6/16/2015,26566.70
6/17/2015,26753.79
6/18/2015,26694.66
6/19/2015,26760.53
6/22/2015,27080.85
6/23/2015,27333.46
6/24/2015,27404.97
6/25/2015,27145.75
6/26/2015,26663.87
6/29/2015,25966.98
6/30/2015,26250.03
7/2/2015,26282.32
7/3/2015,26064.11
7/6/2015,25236.28
7/7/2015,24975.31
7/8/2015,23516.56
7/9/2015,24392.79
7/10/2015,24901.28
7/13/2015,25224.01
7/14/2015,25120.91
7/15/2015,25055.76
7/16/2015,25162.78
7/17/2015,25415.27
7/20/2015,25404.81
7/21/2015,25536.43
7/22/2015,25282.62
7/23/2015,25398.85
